order_id,order_date,status,customer_id,first_name,last_name,email,signup_date,region,postal_code,product_id,product_name,category,quantity,unit_price,item_total,product_cost,shipping_alloc,profit,shipping_method,shipping_cost,discount_pct,order_items_total,order_total,total_refund_amount,return_count,return_reasons,shipping_cost_order,order_items_total_order,region_cust,category_prod,price,cost,weight_kg
O300000,2023-01-03,Completed,C100890,Alex,Davis,user890@example.com,2023-03-18,Midwest,80123,P2020,Product 20,Toys,1,63.94,63.94,44.36,7.5,12.08,Standard,7.5,0,63.94,71.44,0,0,,7.5,63.94,Midwest,Toys,63.94,44.36,1.04
O300001,2024-11-03,Returned,C100004,Drew,Lopez,user4@example.com,2023-09-19,South,89864,P2070,Product 70,Apparel,1,12.55,12.55,9.39,3,0.16,Standard,3,0,12.55,15.55,0,0,,3,12.55,South,Apparel,12.55,9.39,1.87
O300002,2023-08-13,Completed,C101062,Cameron,Wilson,user1062@example.com,2024-12-25,South,72909,P2169,Product 169,Beauty,1,46.36,46.36,27.89,21.04,-2.57,Two-Day,21.04,0,46.36,67.4,0,0,,21.04,46.36,South,Beauty,46.36,27.89,1.55
O300003,2024-10-10,Completed,C100601,Casey,Lopez,user601@example.com,2023-12-17,Northeast,24328,P2174,Product 174,Electronics,1,49.83,49.83,32.2,3.01,14.62,Standard,3.01,0.92,49.83,52.84,0,0,,3.01,49.83,Northeast,Electronics,50.29,32.2,0.9
O300004,2023-12-25,Returned,C103301,Sam,Lopez,user3301@example.com,2024-08-06,West,94256,P2098,Product 98,Home,1,11.53,11.53,7.81,26.91,-23.19,Two-Day,26.91,0,11.53,38.44,0,0,,26.91,11.53,West,Home,11.53,7.81,2.5
O300005,2024-01-15,Completed,C101887,Cameron,Anderson,user1887@example.com,2024-09-28,South,22863,P2168,Product 168,Beauty,1,151.97,151.97,75.55,15.71,60.71,Two-Day,15.71,0,151.97,167.68,0,0,,15.71,151.97,South,Beauty,151.97,75.55,2.92
O300006,2024-07-15,Completed,C104837,Avery,Anderson,user4837@example.com,2024-08-27,West,89921,P2037,Product 37,Apparel,1,14.43,14.43,10.71,4.8,-1.08,Standard,4.8,0,14.43,19.23,0,0,,4.8,14.43,West,Apparel,14.43,10.71,3.35
O300007,2024-08-04,Completed,C100494,Sam,Garcia,user494@example.com,2023-06-27,West,81028,P2138,Product 138,Toys,1,44.98,44.98,29.23,12.68,3.07,Express,12.68,0,44.98,57.66,0,0,,12.68,44.98,West,Toys,44.98,29.23,2.75
O300008,2024-12-13,Completed,C103213,Kendall,Gonzalez,user3213@example.com,2024-11-28,Midwest,68335,P2030,Product 30,Electronics,1,110.19,110.19,60.55,3.7,45.94,Standard,3.7,0,110.19,113.89,0,0,,3.7,110.19,Midwest,Electronics,110.19,60.55,4.19
O300009,2023-02-15,Completed,C104778,Sam,Rodriguez,user4778@example.com,2023-10-25,Northeast,59966,P2033,Product 33,Home,1,103.98,103.98,60.8,7.21,35.97,Standard,7.21,0,103.98,111.19,0,0,,7.21,103.98,Northeast,Home,103.98,60.8,1.11
O300010,2024-09-25,Completed,C101168,Hayden,Martinez,user1168@example.com,2023-06-23,West,94244,P2083,Product 83,Home,2,161.59,323.18,171.46,4.82,146.9,Standard,4.82,0,323.18,328,0,0,,4.82,323.18,West,Home,161.59,85.73,2.21
O300011,2023-07-08,Completed,C100093,Morgan,Brown,user93@example.com,2023-02-04,Northeast,63812,P2124,Product 124,Sports,1,19.28,19.28,9.52,5.7,4.06,Standard,5.7,0,19.28,24.98,0,0,,5.7,19.28,Northeast,Sports,19.28,9.52,4.91
O300012,2024-07-20,Completed,C103194,Taylor,Jones,user3194@example.com,2023-09-18,Southwest,78837,P2094,Product 94,Beauty,1,12.62,12.62,8.83,1.268341709,2.14,Standard,7.4,3.71,73.63,81.03,0,0,,7.4,73.63,Southwest,Beauty,13.11,8.83,4.12
O300012,2024-07-20,Completed,C103194,Taylor,Jones,user3194@example.com,2023-09-18,Southwest,78837,P2100,Product 100,Beauty,1,61.01,61.01,34.68,6.131658291,17.17,Standard,7.4,3.71,73.63,81.03,0,0,,7.4,73.63,Southwest,Beauty,63.36,34.68,2.99
O300013,2024-11-26,Completed,C101917,Riley,Hernandez,user1917@example.com,2023-01-17,Northeast,74586,P2032,Product 32,Beauty,1,62.1,62.1,48.65,17.87,-4.42,Two-Day,17.87,0,62.1,79.97,0,0,,17.87,62.1,Northeast,Beauty,62.1,48.65,0.86
